# Skin friction coefficient results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,cf
 -1.266598206E+02, 0.000000000E+00
 -1.238694153E+02, 0.000000000E+00
 -1.215366974E+02, 0.000000000E+00
 -1.195846939E+02, 0.000000000E+00
 -1.179489822E+02, 0.000000000E+00
 -1.165755920E+02, 0.000000000E+00
 -1.154191971E+02, 0.000000000E+00
 -1.144416275E+02, 0.000000000E+00
 -1.136106415E+02, 0.000000000E+00
 -1.128988037E+02, 0.000000000E+00
 -1.122826233E+02, 0.000000000E+00
 -1.117417679E+02, 0.000000000E+00
 -1.112583923E+02, 0.000000000E+00
 -1.108165512E+02, 0.000000000E+00
 -1.104016495E+02, 0.000000000E+00
 -1.100000000E+02, 8.568611927E-03
 -1.095987091E+02, 1.099191699E-02
 -1.091922226E+02, 4.772877321E-03
 -1.087805405E+02, 4.735545255E-03
 -1.083636475E+02, 4.728576634E-03
 -1.079415131E+02, 4.660974722E-03
 -1.075141373E+02, 4.563342780E-03
 -1.070815125E+02, 4.461491015E-03
 -1.066436234E+02, 4.367681686E-03
 -1.062004700E+02, 4.284881055E-03
 -1.057520447E+02, 4.212331958E-03
 -1.052983475E+02, 4.148248583E-03
 -1.048393784E+02, 4.090944305E-03
 -1.043751373E+02, 4.039154388E-03
 -1.039056396E+02, 3.991968464E-03
 -1.034308777E+02, 3.948633559E-03
 -1.029508667E+02, 3.908487037E-03
 -1.024656143E+02, 3.870979883E-03
 -1.019751511E+02, 3.835723735E-03
 -1.014794693E+02, 3.802473191E-03
 -1.009786072E+02, 3.771061543E-03
 -1.004725800E+02, 3.741345834E-03
 -9.996140289E+01, 3.713184735E-03
 -9.944512177E+01, 3.686448094E-03
 -9.892374420E+01, 3.661025548E-03
 -9.839732361E+01, 3.636817448E-03
 -9.786587524E+01, 3.613726934E-03
 -9.732944489E+01, 3.591654589E-03
 -9.678807831E+01, 3.570516128E-03
 -9.624181366E+01, 3.550255205E-03
 -9.569068909E+01, 3.530821530E-03
 -9.513476562E+01, 3.512162250E-03
 -9.457408905E+01, 3.494226839E-03
 -9.400871277E+01, 3.476970131E-03
 -9.343869781E+01, 3.460350446E-03
 -9.286409760E+01, 3.444330301E-03
 -9.228497314E+01, 3.428875003E-03
 -9.170140076E+01, 3.413954051E-03
 -9.111344147E+01, 3.399540205E-03
 -9.052117157E+01, 3.385609016E-03
 -8.992465973E+01, 3.372137900E-03
 -8.932398224E+01, 3.359105205E-03
 -8.871922302E+01, 3.346489742E-03
 -8.811046600E+01, 3.334271954E-03
 -8.749778748E+01, 3.322432982E-03
 -8.688127899E+01, 3.310956061E-03
 -8.626103973E+01, 3.299825359E-03
 -8.563714600E+01, 3.289024346E-03
 -8.500971222E+01, 3.278539516E-03
 -8.437882233E+01, 3.268357832E-03
 -8.374458313E+01, 3.258466022E-03
 -8.310709381E+01, 3.248853376E-03
 -8.246646881E+01, 3.239508485E-03
 -8.182280731E+01, 3.230420407E-03
 -8.117622375E+01, 3.221580759E-03
 -8.052682495E+01, 3.212980228E-03
 -7.987472534E+01, 3.204609267E-03
 -7.922005463E+01, 3.196461359E-03
 -7.856291962E+01, 3.188529285E-03
 -7.790344238E+01, 3.180804197E-03
 -7.724174500E+01, 3.173279576E-03
 -7.657794952E+01, 3.165949835E-03
 -7.591218567E+01, 3.158807522E-03
 -7.524457550E+01, 3.151845885E-03
 -7.457525635E+01, 3.145060269E-03
 -7.390435028E+01, 3.138445783E-03
 -7.323199463E+01, 3.131996142E-03
 -7.255831909E+01, 3.125706688E-03
 -7.188344574E+01, 3.119575325E-03
 -7.120752716E+01, 3.113597166E-03
 -7.053069305E+01, 3.107767086E-03
 -6.985307312E+01, 3.102080198E-03
 -6.917480469E+01, 3.096533474E-03
 -6.849603271E+01, 3.091122257E-03
 -6.781688690E+01, 3.085839795E-03
 -6.713751221E+01, 3.080680501E-03
 -6.645803833E+01, 3.075638786E-03
 -6.577860260E+01, 3.070710925E-03
 -6.509935760E+01, 3.065895755E-03
 -6.442042542E+01, 3.061193740E-03
 -6.374195099E+01, 3.056603717E-03
 -6.306407166E+01, 3.052124055E-03
 -6.238692474E+01, 3.047751728E-03
 -6.171063995E+01, 3.043481614E-03
 -6.103535843E+01, 3.039309988E-03
 -6.036121750E+01, 3.035234287E-03
 -5.968834305E+01, 3.031254280E-03
 -5.901687241E+01, 3.027367406E-03
 -5.834693909E+01, 3.023570636E-03
 -5.767866898E+01, 3.019861644E-03
 -5.701219559E+01, 3.016239265E-03
 -5.634764481E+01, 3.012703033E-03
 -5.568513870E+01, 3.009252250E-03
 -5.502481079E+01, 3.005884355E-03
 -5.436677170E+01, 3.002596088E-03
 -5.371115494E+01, 2.999385120E-03
 -5.305807114E+01, 2.996248892E-03
 -5.240764236E+01, 2.993186237E-03
 -5.175998306E+01, 2.990195528E-03
 -5.111520004E+01, 2.987273736E-03
 -5.047341537E+01, 2.984418767E-03
 -4.983472824E+01, 2.981628757E-03
 -4.919924927E+01, 2.978903009E-03
 -4.856708527E+01, 2.976241522E-03
 -4.793833160E+01, 2.973644529E-03
 -4.731309128E+01, 2.971110633E-03
 -4.669145966E+01, 2.968638670E-03
 -4.607352829E+01, 2.966227708E-03
 -4.545939636E+01, 2.963876585E-03
 -4.484914398E+01, 2.961584833E-03
 -4.424286652E+01, 2.959351987E-03
 -4.364063644E+01, 2.957178047E-03
 -4.304254150E+01, 2.955061849E-03
 -4.244865799E+01, 2.953002695E-03
 -4.185906219E+01, 2.951000817E-03
 -4.127382278E+01, 2.949056216E-03
 -4.069301605E+01, 2.947168890E-03
 -4.011669922E+01, 2.945338609E-03
 -3.954494476E+01, 2.943564905E-03
 -3.897780609E+01, 2.941846382E-03
 -3.841534805E+01, 2.940181410E-03
 -3.785762024E+01, 2.938567894E-03
 -3.730467987E+01, 2.937004203E-03
 -3.675657654E+01, 2.935489174E-03
 -3.621335220E+01, 2.934020478E-03
 -3.567505264E+01, 2.932595788E-03
 -3.514171982E+01, 2.931212308E-03
 -3.461339188E+01, 2.929868177E-03
 -3.409010696E+01, 2.928561298E-03
 -3.357189560E+01, 2.927289577E-03
 -3.305878830E+01, 2.926051617E-03
 -3.255081177E+01, 2.924846020E-03
 -3.204799652E+01, 2.923671389E-03
 -3.155035782E+01, 2.922525629E-03
 -3.105791855E+01, 2.921406412E-03
 -3.057069588E+01, 2.920311643E-03
 -3.008870697E+01, 2.919239458E-03
 -2.961196136E+01, 2.918188693E-03
 -2.914047050E+01, 2.917159582E-03
 -2.867424202E+01, 2.916151891E-03
 -2.821328163E+01, 2.915165154E-03
 -2.775759315E+01, 2.914198907E-03
 -2.730717659E+01, 2.913252683E-03
 -2.686203194E+01, 2.912326250E-03
 -2.642215538E+01, 2.911420073E-03
 -2.598754120E+01, 2.910533920E-03
 -2.555818367E+01, 2.909668954E-03
 -2.513407326E+01, 2.908824710E-03
 -2.471519852E+01, 2.908001654E-03
 -2.430154610E+01, 2.907199087E-03
 -2.389310455E+01, 2.906416310E-03
 -2.348985291E+01, 2.905653557E-03
 -2.309177589E+01, 2.904910361E-03
 -2.269885445E+01, 2.904186258E-03
 -2.231106567E+01, 2.903480781E-03
 -2.192838669E+01, 2.902793931E-03
 -2.155079460E+01, 2.902125241E-03
 -2.117826462E+01, 2.901474712E-03
 -2.081076813E+01, 2.900842810E-03
 -2.044827843E+01, 2.900229068E-03
 -2.009076500E+01, 2.899634186E-03
 -1.973819733E+01, 2.899057465E-03
 -1.939054298E+01, 2.898499370E-03
 -1.904777145E+01, 2.897959668E-03
 -1.870984650E+01, 2.897438128E-03
 -1.837673378E+01, 2.896934515E-03
 -1.804839706E+01, 2.896449296E-03
 -1.772480202E+01, 2.895982005E-03
 -1.740590858E+01, 2.895532874E-03
 -1.709168053E+01, 2.895102603E-03
 -1.678207588E+01, 2.894690959E-03
 -1.647705650E+01, 2.894297941E-03
 -1.617658234E+01, 2.893924015E-03
 -1.588061237E+01, 2.893569414E-03
 -1.558910275E+01, 2.893234137E-03
 -1.530201340E+01, 2.892918652E-03
 -1.501930141E+01, 2.892623190E-03
 -1.474092293E+01, 2.892348683E-03
 -1.446683407E+01, 2.892095130E-03
 -1.419699097E+01, 2.891863463E-03
 -1.393135071E+01, 2.891653916E-03
 -1.366986656E+01, 2.891467651E-03
 -1.341249561E+01, 2.891304670E-03
 -1.315919113E+01, 2.891166368E-03
 -1.290990829E+01, 2.891052747E-03
 -1.266460133E+01, 2.890964970E-03
 -1.242322445E+01, 2.890903503E-03
 -1.218573284E+01, 2.890869044E-03
 -1.195207977E+01, 2.890862292E-03
 -1.172221851E+01, 2.890883712E-03
 -1.149610424E+01, 2.890933771E-03
 -1.127369118E+01, 2.891013399E-03
 -1.105493259E+01, 2.891123295E-03
 -1.083978176E+01, 2.891264157E-03
 -1.062819481E+01, 2.891436452E-03
 -1.042012405E+01, 2.891641343E-03
 -1.021552372E+01, 2.891879296E-03
 -1.001434994E+01, 2.892151009E-03
 -9.816555977E+00, 2.892457414E-03
 -9.622097015E+00, 2.892799210E-03
 -9.430928230E+00, 2.893177094E-03
 -9.243002892E+00, 2.893591998E-03
 -9.058279037E+00, 2.894044621E-03
 -8.876709938E+00, 2.894535894E-03
 -8.698252678E+00, 2.895066747E-03
 -8.522862434E+00, 2.895637415E-03
 -8.350496292E+00, 2.896249061E-03
 -8.181111336E+00, 2.896902151E-03
 -8.014662743E+00, 2.897597384E-03
 -7.851108551E+00, 2.898335457E-03
 -7.690406799E+00, 2.899116604E-03
 -7.532514572E+00, 2.899941755E-03
 -7.377390862E+00, 2.900811378E-03
 -7.224993229E+00, 2.901725937E-03
