# Pressure coefficient results from CFL3D, Re_H=36,000, SST model
# Cp values have been shifted so that Cp is close to 0 near x/H=40
x,cp
 -1.300000000E+02, -3.444001079E-02
 -1.266600037E+02, -3.445997834E-02
 -1.238700027E+02, -3.449997306E-02
 -1.215400009E+02, -3.453001380E-02
 -1.195800018E+02, -3.455999494E-02
 -1.179499969E+02, -3.458997607E-02
 -1.165800018E+02, -3.461000323E-02
 -1.154199982E+02, -3.458997607E-02
 -1.144400024E+02, -3.453001380E-02
 -1.136100006E+02, -3.441998363E-02
 -1.129000015E+02, -3.424999118E-02
 -1.122799988E+02, -3.401002288E-02
 -1.117399979E+02, -3.353002667E-02
 -1.112600021E+02, -3.212997317E-02
 -1.108199997E+02, -2.870997600E-02
 -1.104000015E+02, -2.352002077E-02
 -1.100000000E+02, -2.716001682E-02
 -1.095999985E+02, -3.870001435E-02
 -1.091900024E+02, -4.249998927E-02
 -1.087799988E+02, -4.162999988E-02
 -1.083600006E+02, -4.216000438E-02
 -1.079400024E+02, -4.257997870E-02
 -1.075100021E+02, -4.318001866E-02
 -1.070800018E+02, -4.380002618E-02
 -1.066399994E+02, -4.444000125E-02
 -1.061999969E+02, -4.507997632E-02
 -1.057500000E+02, -4.572001100E-02
 -1.053000031E+02, -4.636999965E-02
 -1.048399963E+02, -4.700997472E-02
 -1.043799973E+02, -4.766002297E-02
 -1.039100037E+02, -4.831001163E-02
 -1.034300003E+02, -4.896000028E-02
 -1.029499969E+02, -4.962000251E-02
 -1.024700012E+02, -5.025997758E-02
 -1.019800034E+02, -5.091997981E-02
 -1.014800034E+02, -5.157998204E-02
 -1.009800034E+02, -5.223998427E-02
 -1.004700012E+02, -5.288997293E-02
 -9.996099854E+01, -5.354997516E-02
 -9.944499969E+01, -5.420997739E-02
 -9.892400360E+01, -5.486997962E-02
 -9.839700317E+01, -5.552002788E-02
 -9.786599731E+01, -5.618998408E-02
 -9.732900238E+01, -5.684998631E-02
 -9.678800201E+01, -5.750998855E-02
 -9.624199677E+01, -5.816999078E-02
 -9.569100189E+01, -5.882999301E-02
 -9.513500214E+01, -5.950000882E-02
 -9.457399750E+01, -6.016001105E-02
 -9.400900269E+01, -6.082001328E-02
 -9.343900299E+01, -6.149002910E-02
 -9.286399841E+01, -6.215003133E-02
 -9.228500366E+01, -6.280997396E-02
 -9.170099640E+01, -6.347998977E-02
 -9.111299896E+01, -6.415000558E-02
 -9.052100372E+01, -6.482002139E-02
 -8.992500305E+01, -6.548997760E-02
 -8.932399750E+01, -6.617000699E-02
 -8.871900177E+01, -6.684997678E-02
 -8.811000061E+01, -6.751999259E-02
 -8.749800110E+01, -6.820002198E-02
 -8.688099670E+01, -6.887999177E-02
 -8.626100159E+01, -6.955000758E-02
 -8.563700104E+01, -7.023999095E-02
 -8.501000214E+01, -7.092002034E-02
 -8.437899780E+01, -7.159999013E-02
 -8.374500275E+01, -7.228997350E-02
 -8.310700226E+01, -7.297000289E-02
 -8.246600342E+01, -7.365998626E-02
 -8.182299805E+01, -7.434001565E-02
 -8.117600250E+01, -7.501998544E-02
 -8.052700043E+01, -7.571998239E-02
 -7.987500000E+01, -7.640001178E-02
 -7.922000122E+01, -7.707998157E-02
 -7.856300354E+01, -7.777002454E-02
 -7.790299988E+01, -7.843998075E-02
 -7.724199677E+01, -7.913002372E-02
 -7.657800293E+01, -7.980999351E-02
 -7.591200256E+01, -8.049002290E-02
 -7.524500275E+01, -8.116999269E-02
 -7.457499695E+01, -8.185002208E-02
 -7.390399933E+01, -8.252999187E-02
 -7.323200226E+01, -8.320000768E-02
 -7.255799866E+01, -8.387997746E-02
 -7.188300323E+01, -8.454999328E-02
 -7.120800018E+01, -8.522000909E-02
 -7.053099823E+01, -8.589002490E-02
 -6.985299683E+01, -8.655998111E-02
 -6.917500305E+01, -8.724001050E-02
 -6.849600220E+01, -8.791002631E-02
 -6.781700134E+01, -8.858999610E-02
 -6.713800049E+01, -8.924999833E-02
