# Velocity results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,y,u
-4.000000000E+00, 1.000000000E+00, 3.970332909E-03
-4.000000000E+00, 1.000150442E+00, 8.067804389E-03
-4.000000000E+00, 1.000310659E+00, 1.653410867E-02
-4.000000000E+00, 1.000481486E+00, 2.555544302E-02
-4.000000000E+00, 1.000663638E+00, 3.516796604E-02
-4.000000000E+00, 1.000857592E+00, 4.541000724E-02
-4.000000000E+00, 1.001064420E+00, 5.632188544E-02
-4.000000000E+00, 1.001284838E+00, 6.794532388E-02
-4.000000000E+00, 1.001519799E+00, 8.032210916E-02
-4.000000000E+00, 1.001770139E+00, 9.349139780E-02
-4.000000000E+00, 1.002037048E+00, 1.074849367E-01
-4.000000000E+00, 1.002321362E+00, 1.223191246E-01
-4.000000000E+00, 1.002624512E+00, 1.379837841E-01
-4.000000000E+00, 1.002947450E+00, 1.544283181E-01
-4.000000000E+00, 1.003291726E+00, 1.715491861E-01
-4.000000000E+00, 1.003658652E+00, 1.891848296E-01
-4.000000000E+00, 1.004049659E+00, 2.071245015E-01
-4.000000000E+00, 1.004466295E+00, 2.251322120E-01
-4.000000000E+00, 1.004910350E+00, 2.429788709E-01
-4.000000000E+00, 1.005383611E+00, 2.604707479E-01
-4.000000000E+00, 1.005887985E+00, 2.774655223E-01
-4.000000000E+00, 1.006425500E+00, 2.938742936E-01
-4.000000000E+00, 1.006998301E+00, 3.096725941E-01
-4.000000000E+00, 1.007608771E+00, 3.248846829E-01
-4.000000000E+00, 1.008259177E+00, 3.395302296E-01
-4.000000000E+00, 1.008952498E+00, 3.536117673E-01
-4.000000000E+00, 1.009691119E+00, 3.671347797E-01
-4.000000000E+00, 1.010478377E+00, 3.801128268E-01
-4.000000000E+00, 1.011317253E+00, 3.925661445E-01
-4.000000000E+00, 1.012211084E+00, 4.045195580E-01
-4.000000000E+00, 1.013163567E+00, 4.160003066E-01
-4.000000000E+00, 1.014178634E+00, 4.270382822E-01
-4.000000000E+00, 1.015260100E+00, 4.376674891E-01
-4.000000000E+00, 1.016412497E+00, 4.479324520E-01
-4.000000000E+00, 1.017640352E+00, 4.578809440E-01
-4.000000000E+00, 1.018948674E+00, 4.675472677E-01
-4.000000000E+00, 1.020342588E+00, 4.769544303E-01
-4.000000000E+00, 1.021827817E+00, 4.861229360E-01
-4.000000000E+00, 1.023410201E+00, 4.950713217E-01
-4.000000000E+00, 1.025096059E+00, 5.038167834E-01
-4.000000000E+00, 1.026892185E+00, 5.123748183E-01
-4.000000000E+00, 1.028805614E+00, 5.207596421E-01
