# Turbulence results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
# Note: extraction at x/H=-4 was at nearest cell-center
x,y,uv
-3.953960419E+00, 1.000075221E+00, -2.534520987E-13
-3.953960419E+00, 1.000230551E+00, -4.079311541E-11
-3.953960419E+00, 1.000396132E+00, -8.822731434E-10
-3.953960419E+00, 1.000572562E+00, -7.486039344E-09
-3.953960419E+00, 1.000760674E+00, -3.846158592E-08
-3.953960419E+00, 1.000961065E+00, -1.457333525E-07
-3.953960419E+00, 1.001174688E+00, -4.509334985E-07
-3.953960419E+00, 1.001402378E+00, -1.207547484E-06
-3.953960419E+00, 1.001644969E+00, -2.898886805E-06
-3.953960419E+00, 1.001903653E+00, -6.377401405E-06
-3.953960419E+00, 1.002179265E+00, -1.303254612E-05
-3.953960419E+00, 1.002472997E+00, -2.493196371E-05
-3.953960419E+00, 1.002786040E+00, -4.481383439E-05
-3.953960419E+00, 1.003119588E+00, -7.575606287E-05
-3.953960419E+00, 1.003475189E+00, -1.204113287E-04
-3.953960419E+00, 1.003854156E+00, -1.799673337E-04
-3.953960419E+00, 1.004257917E+00, -2.533494844E-04
-3.953960419E+00, 1.004688382E+00, -3.372336796E-04
-3.953960419E+00, 1.005146980E+00, -4.269499041E-04
-3.953960419E+00, 1.005635858E+00, -5.177446292E-04
-3.953960419E+00, 1.006156802E+00, -6.057441351E-04
-3.953960419E+00, 1.006711960E+00, -6.890968070E-04
-3.953960419E+00, 1.007303476E+00, -7.610191242E-04
-3.953960419E+00, 1.007933974E+00, -8.265420911E-04
-3.953960419E+00, 1.008605838E+00, -8.868537261E-04
-3.953960419E+00, 1.009321809E+00, -9.418135160E-04
-3.953960419E+00, 1.010084748E+00, -9.914906695E-04
-3.953960419E+00, 1.010897756E+00, -1.036114176E-03
-3.953960419E+00, 1.011764169E+00, -1.076003769E-03
-3.953960419E+00, 1.012687325E+00, -1.111564809E-03
-3.953960419E+00, 1.013671041E+00, -1.143218600E-03
-3.953960419E+00, 1.014719367E+00, -1.171396580E-03
-3.953960419E+00, 1.015836239E+00, -1.196522848E-03
-3.953960419E+00, 1.017026424E+00, -1.216431032E-03
-3.953960419E+00, 1.018294573E+00, -1.234692172E-03
-3.953960419E+00, 1.019645691E+00, -1.250959584E-03
-3.953960419E+00, 1.021085262E+00, -1.265376573E-03
-3.953960419E+00, 1.022619009E+00, -1.278151292E-03
-3.953960419E+00, 1.024253130E+00, -1.289464068E-03
-3.953960419E+00, 1.025994062E+00, -1.299472409E-03
-3.953960419E+00, 1.027848840E+00, -1.308312640E-03
-3.953960419E+00, 1.029824734E+00, -1.316103968E-03
-3.953960419E+00, 1.031929612E+00, -1.322949654E-03
-3.953960419E+00, 1.034171939E+00, -1.328940038E-03
-3.953960419E+00, 1.036560416E+00, -1.334153232E-03
-3.953960419E+00, 1.039104462E+00, -1.338657807E-03
-3.953960419E+00, 1.041814327E+00, -1.342513016E-03
-3.953960419E+00, 1.044700623E+00, -1.345770434E-03
-3.953960419E+00, 1.047774553E+00, -1.348474645E-03
-3.953960419E+00, 1.051048160E+00, -1.350664301E-03
-3.953960419E+00, 1.054534435E+00, -1.352372346E-03
-3.953960419E+00, 1.058246851E+00, -1.353626954E-03
-3.953960419E+00, 1.062199831E+00, -1.354451641E-03
-3.953960419E+00, 1.066408634E+00, -1.354866195E-03
-3.953960419E+00, 1.070889711E+00, -1.354886335E-03
-3.953960419E+00, 1.075660229E+00, -1.354524284E-03
-3.953960419E+00, 1.080738425E+00, -1.353789470E-03
-3.953960419E+00, 1.086143851E+00, -1.352687483E-03
-3.953960419E+00, 1.091896892E+00, -1.351221697E-03
-3.953960419E+00, 1.098019600E+00, -1.349392231E-03
-3.953960419E+00, 1.104534984E+00, -1.347196288E-03
-3.953960419E+00, 1.111467361E+00, -1.344628748E-03
-3.953960419E+00, 1.118842840E+00, -1.341681462E-03
-3.953960419E+00, 1.126688600E+00, -1.338343718E-03
-3.953960419E+00, 1.135033727E+00, -1.334601897E-03
-3.953960419E+00, 1.143908858E+00, -1.330439583E-03
-3.953960419E+00, 1.153346181E+00, -1.325837569E-03
-3.953960419E+00, 1.163379788E+00, -1.320773619E-03
-3.953960419E+00, 1.174045801E+00, -1.315222355E-03
-3.953960419E+00, 1.185382128E+00, -1.309155021E-03
-3.953960419E+00, 1.197428584E+00, -1.302539604E-03
-3.953960419E+00, 1.210227251E+00, -1.295340364E-03
